Piezo Voltage (V),Fine In 1 (V),Fine In 2 (V)
63.80582,0.372416,0.362934
63.808781,0.372558,0.363463
63.811749,0.373188,0.363603
63.814709,0.373224,0.363537
63.817654,0.372741,0.363991
63.820637,0.372726,0.36426
63.823605,0.3731,0.364046
63.826557,0.373235,0.364385
63.829525,0.372798,0.364952
63.832493,0.372731,0.364924
63.835461,0.372797,0.364596
63.838406,0.37289,0.365213
63.841381,0.372826,0.365742
63.844349,0.372852,0.365641
63.847309,0.372633,0.365428
63.850269,0.372679,0.366277
63.853237,0.372995,0.366837
63.856197,0.373414,0.366942
63.859158,0.373411,0.367105
63.862125,0.373102,0.367899
63.865086,0.373345,0.368457
63.868053,0.374247,0.368696
63.871021,0.374672,0.369176
63.873989,0.374442,0.369864
63.876942,0.374175,0.370209
63.87991,0.375101,0.370437
63.882877,0.376105,0.371078
63.88583,0.376374,0.371803
63.888798,0.375843,0.371937
63.891766,0.375678,0.371782
63.894726,0.376608,0.372221
63.897694,0.377486,0.373023
63.900654,0.377251,0.373087
63.903614,0.376658,0.372672
63.906582,0.376517,0.372605
63.909527,0.377459,0.373386
63.912502,0.37799,0.373841
63.91547,0.377623,0.373574
63.918438,0.376974,0.373052
63.921406,0.376784,0.373271
63.924358,0.37723,0.373741
63.927326,0.377551,0.373861
63.930271,0.37722,0.373514
63.933247,0.376628,0.373282
63.936214,0.376528,0.373759
63.939182,0.376624,0.373921
63.942142,0.376696,0.373759
63.945103,0.376731,0.373637
63.948071,0.376705,0.374012
63.951015,0.376544,0.37458
63.953999,0.376533,0.374688
63.956966,0.3764,0.374423
63.959919,0.376349,0.374482
63.962887,0.376653,0.375177
63.965855,0.376911,0.375897
63.968807,0.377493,0.376308
63.971767,0.377596,0.376241
63.974743,0.377555,0.376217
63.977711,0.377385,0.376599
63.980671,0.377723,0.377354
63.983631,0.378246,0.377759
63.986599,0.37889,0.377753
63.989559,0.379392,0.377815
63.992519,0.379455,0.378072
63.995487,0.379188,0.378371
63.998447,0.378762,0.378302
64.001419,0.378985,0.37813
64.004387,0.379532,0.378106
64.007339,0.379906,0.378321
64.010307,0.380036,0.378556
64.013275,0.379425,0.378377
64.016228,0.378755,0.377911
64.019196,0.378566,0.377493
64.022156,0.378847,0.377556
64.025131,0.37934,0.377963
64.028091,0.379346,0.377954
64.031052,0.378791,0.377513
64.034019,0.378024,0.376947
64.03698,0.377496,0.376727
64.03994,0.377432,0.376836
64.042892,0.377918,0.377236
64.045868,0.378247,0.377156
64.048836,0.377918,0.376892
64.051804,0.377588,0.376567
64.054756,0.377137,0.376864
64.057724,0.377109,0.377269
64.060692,0.377108,0.377292
64.063644,0.377408,0.377145
64.066612,0.3777,0.377184
64.06958,0.378002,0.377703
64.072548,0.377849,0.378255
64.075508,0.378061,0.378265
64.078468,0.378132,0.377999
64.081436,0.378123,0.3778
64.084381,0.37829,0.3781
64.087364,0.378588,0.378758
64.090324,0.378898,0.378949
64.093285,0.379005,0.378527
64.096252,0.379045,0.378019
64.09922,0.378911,0.378034
64.102173,0.378764,0.378372
64.105125,0.37888,0.378327
64.108109,0.379088,0.377916
64.111076,0.37921,0.377432
64.114037,0.378975,0.37735
64.116997,0.378302,0.377306
64.119965,0.377934,0.376945
64.122917,0.377962,0.376393
64.125877,0.378189,0.376169
64.128853,0.378241,0.376181
64.131813,0.377478,0.375925
64.134781,0.376596,0.375237
64.137741,0.376084,0.374634
64.140701,0.376774,0.374819
64.143669,0.377,0.375024
64.146629,0.376518,0.374662
64.14959,0.375423,0.373917
64.152557,0.375031,0.373647
64.155525,0.375455,0.374059
64.158493,0.375991,0.374257
64.161446,0.375693,0.37376
64.164413,0.375075,0.373472
64.167381,0.374844,0.373676
64.170341,0.375299,0.373909
64.173302,0.375793,0.37372
64.176254,0.375746,0.3736
64.17923,0.375493,0.373833
64.182198,0.375484,0.373787
64.185158,0.375812,0.373371
64.188118,0.376077,0.373136
64.191086,0.375936,0.373483
64.194054,0.37586,0.373401
64.197006,0.375792,0.37262
64.199974,0.375756,0.372087
64.202942,0.37583,0.372399
64.20591,0.375792,0.372305
64.208862,0.375568,0.371328
64.21183,0.374978,0.370695
64.214798,0.374993,0.370941
64.217743,0.37493,0.370694
64.220726,0.374812,0.369673
64.223686,0.373984,0.369128
