"Piezo Voltage (V)";"(none) ()";"Fine In 1 (V)";
65.076904;0.205382;0.244231;
65.080597;0.208282;0.244030;
65.084297;0.204747;0.243716;
65.087990;0.204190;0.243508;
65.091682;0.206116;0.243334;
65.095367;0.202621;0.243025;
65.099052;0.203960;0.242773;
65.102760;0.206237;0.242736;
65.106453;0.203349;0.242774;
65.110146;0.205592;0.242841;
65.113846;0.206833;0.242931;
65.117531;0.203120;0.243325;
65.121223;0.205147;0.243828;
65.124916;0.204645;0.244427;
65.128616;0.201133;0.245018;
65.132309;0.204001;0.245669;
65.135979;0.203438;0.246514;
65.139687;0.201581;0.247188;
65.143379;0.205430;0.247875;
65.147079;0.204183;0.248455;
65.150772;0.202464;0.248997;
65.154457;0.205351;0.249363;
65.158150;0.202493;0.249700;
65.161842;0.201252;0.249946;
65.165543;0.203591;0.250038;
65.169235;0.200460;0.249998;
65.172905;0.201014;0.249987;
65.176613;0.203789;0.249905;
65.180313;0.201027;0.249844;
65.184006;0.202630;0.249560;
65.187698;0.204242;0.249397;
65.191399;0.200580;0.249195;
65.195084;0.201950;0.249068;
65.198776;0.201991;0.248933;
65.202469;0.198377;0.248928;
65.206161;0.200977;0.248918;
65.209839;0.201034;0.248987;
65.213547;0.198880;0.249255;
65.217239;0.202427;0.249619;
65.220932;0.201581;0.250133;
65.224625;0.199442;0.250657;
65.228325;0.202151;0.251262;
65.232010;0.199821;0.251952;
65.235703;0.197962;0.252550;
65.239395;0.200449;0.253147;
65.243088;0.197877;0.253873;
65.246765;0.197803;0.254491;
65.250473;0.200945;0.254962;
65.254166;0.198430;0.255299;
65.257866;0.199289;0.255592;
65.261559;0.201218;0.255883;
65.265251;0.197607;0.256023;
65.268936;0.198333;0.256134;
65.272636;0.198939;0.256096;
65.276329;0.195405;0.256014;
65.280022;0.197585;0.255866;
65.283691;0.198266;0.255712;
65.287399;0.195808;0.255466;
65.291100;0.198976;0.255167;
65.294792;0.198738;0.254946;
65.298485;0.196101;0.254691;
65.302177;0.198648;0.254462;
65.305862;0.196565;0.254268;
65.309563;0.194475;0.254066;
65.313255;0.197121;0.254128;
65.316940;0.194928;0.254297;
65.320625;0.194490;0.254474;
65.324341;0.197728;0.254638;
65.328026;0.195505;0.254914;
65.331718;0.195850;0.255283;
65.335419;0.197868;0.255777;
65.339111;0.194257;0.256328;
65.342804;0.194840;0.256764;
65.346489;0.195731;0.257282;
65.350182;0.192293;0.257640;
65.353867;0.194287;0.257882;
65.357574;0.195213;0.258242;
65.361267;0.192886;0.258352;
65.364952;0.195972;0.258445;
65.368645;0.195670;0.258397;
65.372345;0.192874;0.258337;
65.376038;0.195307;0.258086;
65.379730;0.193500;0.257866;
65.383415;0.191439;0.257443;
65.387115;0.194149;0.256890;
65.390793;0.191964;0.256493;
65.394501;0.191657;0.256072;
65.398193;0.194881;0.255599;
65.401878;0.192570;0.255211;
65.405579;0.193005;0.254746;
65.409271;0.194765;0.254366;
65.412964;0.191100;0.254097;
65.416664;0.191897;0.254078;
65.420357;0.192587;0.254022;
65.424042;0.189432;0.254161;
65.427719;0.191841;0.254366;
65.431427;0.192465;0.254723;
65.435127;0.190153;0.255112;
65.438820;0.193281;0.255667;
